company,email,verified,contact_name,custom_line
Clínica Dental Begoña,info@cdentalbegona.es,yes,,"Vi vuestra clínica dental en Bilbao."
Clínica Dental MD,info@clinicadentalmd.es,yes,,"Vi vuestra clínica dental en Bilbao."
Clínica Dental Mendizabal,info@clinicadentalmendizabal.com,yes,,"Vi vuestra clínica dental en Bilbao."
Clínica Dental Reyes de Navarra,info@reyesdenavarra.com,yes,,"Vi vuestra clínica dental en Vitoria."
Clínica Dental Álava,clinicadentalalava@gmail.com,yes,,"Vi vuestra clínica dental en Vitoria."
Clínica Dental Gasteiz,clidengas@gmail.com,yes,,"Vi vuestra clínica dental en Vitoria."
Clínica GDent,gdent@clinicagdent.com,yes,,"Vi vuestra clínica dental en Vitoria."
Clínica Sevilla Dental,clinicasevilladental@gmail.com,yes,,"Vi vuestra clínica dental en Sevilla."
Clínica Dental Sevilla,clinica@dentalsevilla.com,yes,,"Vi vuestra clínica dental en Sevilla."
Clínica Dr. de Luque,hola@clinicadoctordeluque.com,yes,,"Vi vuestra clínica dental en Sevilla."
Dentiun,gestion@dentiun.es,yes,,"Vi vuestra clínica dental en Málaga."
Clínica Dental Omega,consulta@clinicadentalomega.com,yes,,"Vi vuestra clínica dental en Málaga."
Clínica Dental Algorta,info@clinicadentalalgorta.com,yes,,"Vi vuestra clínica dental en Algorta (Getxo)."
Clínica Dental Letamendia,info@clinicaletamendia.com,yes,,"Vi vuestra clínica dental en Getxo."
Clínica Dental Valdivieso,clinicadentalvaldivieso@infomed.es,yes,,"Vi vuestra clínica dental en Indautxu (Bilbao)."
Clínica Dental Eguidazu,clinica@clinicadentaleguidazu.com,yes,,"Vi vuestra clínica dental en Santutxu (Bilbao)."
Clínica Dental Barakaldo,clinicadentalbarakaldo@gmail.com,yes,,"Vi vuestra clínica dental en Barakaldo."
Clínicas Plus Dental Galdakao,galdakao@clinicasplusdental.es,yes,,"Vi vuestra clínica dental en Galdakao."
Clínica Dental Estefania,dentalestefania@gmail.com,yes,,"Vi vuestra clínica dental en Durango."
Clínica Dental Gorka Madariaga,gorkamadariaga@yahoo.es,yes,,"Vi vuestra clínica dental en Gernika."
Clínica Dental Ugedo & Ibarlucea,info@clinicadentalugedoibarlucea.com,yes,,"Vi vuestra clínica dental en Mungia."
Clínica Dental Garaizar,info@clinicadentalgaraizar.es,yes,,"Vi vuestra clínica dental en Portugalete."
Clínica Dental Piñeiro,clinicadentalpineiro@dentalsonrie.es,yes,,"Vi vuestra clínica dental en Portugalete."
Clínica Dental Charo Díez,charodiezdiez@hotmail.es,yes,,"Vi vuestra clínica dental en Santurtzi."
CDB Basauri,cdbasauri@cdbasauri.com,yes,,"Vi vuestra clínica dental en Basauri."
Clínica Dental Sopelana,clinica@dentalsopelana.es,yes,,"Vi vuestra clínica dental en Sopela."
Clínica Dental Zelaieta,info@zelaieta.eus,yes,,
Clínica Dental Zornotza,info@clinicadentalzornotza.com,yes,,
Dental Arcos,info@dentalarcos.com,yes,,
Clínica Dental Sestao,dentalsestao@dentalsestao.com,yes,,
Centro Dental Amezola,pacientes@dentalamezola.com,yes,,
Clínica Dental Rekalde,info@dentalrekalde.es,yes,,
Clínica Bilbao,info@clinicabilbao.com,yes,,
Clínica Dental Leioa,clinica@clinicadentalleioa.com,yes,,
Dentista Las Arenas,elenabocage@gmail.com,yes,,
Clínica Dental Velázquez,clinica@clinicadentalvelazquez.com,yes,,
Clínica Dental Larrañaga,info@clinicalarranaga.es,yes,,
Centro Dental Smiling,info@clinicasmiling.com,yes,,
Centro Dental Lavapiés,info@centrodentallavapies.com,yes,,
